
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.247.144:26373  120.196.204.187:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26375  120.196.204.187:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26376  1.1.1.1:853            TIME_WAIT       0
  TCP    192.168.247.144:26378  1.1.1.1:853            TIME_WAIT       0
  TCP    192.168.247.144:26381  120.196.204.187:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26382  1.1.1.1:853            TIME_WAIT       0
  TCP    192.168.247.144:26384  1.1.1.1:853            TIME_WAIT       0
  TCP    192.168.247.144:26391  120.196.204.187:38609  TIME_WAIT       0
  TCP    192.168.247.144:26392  120.196.204.187:38609  TIME_WAIT       0
  TCP    192.168.247.144:26393  120.196.204.187:38609  TIME_WAIT       0
  TCP    192.168.247.144:26394  120.196.204.187:38609  TIME_WAIT       0
  TCP    192.168.247.144:26395  120.196.204.187:38609  TIME_WAIT       0
  TCP    192.168.247.144:26397  120.196.204.187:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26399  120.196.204.187:38609  TIME_WAIT       0
  TCP    192.168.247.144:26401  120.196.204.187:38609  ESTABLISHED     11956
  TCP    192.168.247.144:26402  1.1.1.1:853            TIME_WAIT       0
  TCP    192.168.247.144:26404  1.1.1.1:853            TIME_WAIT       0
  TCP    192.168.247.144:30436  4.145.79.81:443        ESTABLISHED     6132
  TCP    192.168.247.144:30478  106.14.1.253:443       ESTABLISHED     6160
  TCP    192.168.247.144:59619  123.249.42.199:11111   ESTABLISHED     21016
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1053              [::]:0                 LISTENING       11956
  TCP    [::]:7680              [::]:0                 LISTENING       15404
  TCP    [::]:21904             [::]:0                 LISTENING       21016
  TCP    [::]:49665             [::]:0                 LISTENING       824
  TCP    [::]:49667             [::]:0                 LISTENING       2412
  TCP    [::1]:42050            [::]:0                 LISTENING       38696
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:3039  [2409:8c1e:8f60:1::22]:80  ESTABLISHED     31272
  TCP    [2409:8924:e10:48b3:9dfc:d3f3:70f0:46de]:3119  [2409:8c20:3c42:27::100:8005]:443  CLOSE_WAIT      31272
